common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Vinciguerria,NA (_Vinciguerria_),162192,92,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Vinciguerria attenuata,NA (_Vinciguerria attenuata_),162193,1143,76143,erdCalCOFIlrvcntVtoZ.csv
Panama lightfish,Vinciguerria lucetia,Panama lightfish (_Vinciguerria lucetia_),182865,93,76143,erdCalCOFIlrvcntVtoZ.csv
Oceanic lightfish,Vinciguerria nimbaria,Oceanic lightfish (_Vinciguerria nimbaria_),162194,96,76143,erdCalCOFIlrvcntVtoZ.csv
Highseas lightfish,Vinciguerria poweriae,Highseas lightfish (_Vinciguerria poweriae_),162195,94,76143,erdCalCOFIlrvcntVtoZ.csv
Bigeye lightfish,Woodsia nonsuchae,Bigeye lightfish (_Woodsia nonsuchae_),162211,95,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Xeneretmus,NA (_Xeneretmus_),167466,3000,76143,erdCalCOFIlrvcntVtoZ.csv
Blackedge poacher,Xeneretmus latifrons,Blackedge poacher (_Xeneretmus latifrons_),167467,764,76143,erdCalCOFIlrvcntVtoZ.csv
Smootheye poacher,Xeneretmus leiops,Smootheye poacher (_Xeneretmus leiops_),167469,765,76143,erdCalCOFIlrvcntVtoZ.csv
Salema,Xenistius californiensis,Salema (_Xenistius californiensis_),169118,452,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Xyrichtys,NA (_Xyrichtys_),613036,638,76143,erdCalCOFIlrvcntVtoZ.csv
Razorfish,Xyrichtys mundiceps,Razorfish (_Xyrichtys mundiceps_),614509,642,76143,erdCalCOFIlrvcntVtoZ.csv
Fantail sole,Xystreurys liolepis,Fantail sole (_Xystreurys liolepis_),172800,936,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Yarella blackfordi,NA (_Yarella blackfordi_),162205,97,76143,erdCalCOFIlrvcntVtoZ.csv
Spotted batfish,Zalieutes elater,Spotted batfish (_Zalieutes elater_),164598,973,76143,erdCalCOFIlrvcntVtoZ.csv
Combfishes,Zaniolepididae,Combfishes (_Zaniolepididae_),167126,725,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Zaniolepis,NA (_Zaniolepis_),167127,726,76143,erdCalCOFIlrvcntVtoZ.csv
Shortspine combfish,Zaniolepis frenata,Shortspine combfish (_Zaniolepis frenata_),167129,727,76143,erdCalCOFIlrvcntVtoZ.csv
Longspine combfish,Zaniolepis latipinnis,Longspine combfish (_Zaniolepis latipinnis_),167128,728,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Zenion,NA (_Zenion_),166276,1460,76143,erdCalCOFIlrvcntVtoZ.csv
Eelpouts,Zoarcidae,Eelpouts (_Zoarcidae_),165215,860,76143,erdCalCOFIlrvcntVtoZ.csv
NA,Zoarcoidei,NA (_Zoarcoidei_),165214,843,76143,erdCalCOFIlrvcntVtoZ.csv
Scalloped ribbonfish,Zu cristatus,Scalloped ribbonfish (_Zu cristatus_),166353,384,76143,erdCalCOFIlrvcntVtoZ.csv
NA,NA,NA (_NA_),NA,NA,2,erdCalCOFIlrvcntCPtoDE.csv|erdCalCOFIlrvcntGOtoHA.csv
